Date,keywords,Institute,Paper
2021-12,WebGPT,OpenAI,[WebGPT: Browser-assisted question-answering with human feedback](https://www.semanticscholar.org/paper/WebGPT%3A-Browser-assisted-question-answering-with-Nakano-Hilton/2f3efe44083af91cef562c1a3451eee2f8601d22)
2021-12,Retro,DeepMind,[Improving language models by retrieving from trillions of tokens](https://www.deepmind.com/publications/improving-language-models-by-retrieving-from-trillions-of-tokens)
2021-12,Gopher,DeepMind,[Scaling Language Models: Methods Analysis &amp; Insights from Training Gopher](https://arxiv.org/pdf/2112.11446.pdf)
2022-01,COT,Google,[Chain-of-Thought Prompting Elicits Reasoning in Large Language Models](https://arxiv.org/pdf/2201.11903.pdf)
2022-01,LaMDA,Google,[LaMDA: Language Models for Dialog Applications](https://arxiv.org/pdf/2201.08239.pdf)
2022-01,Minerva,Google,[Solving Quantitative Reasoning Problems with Language Models](https://arxiv.org/abs/2206.14858)
2022-01,Megatron-Turing NLG,Microsoft&NVIDIA,[Using Deep and Megatron to Train Megatron-Turing NLG 530B A Large-Scale Generative Language Model](https://arxiv.org/pdf/2201.11990.pdf)
2022-03,InstructGPT,OpenAI,[Training language models to follow instructions with human feedback](https://arxiv.org/pdf/2203.02155.pdf)
2022-04,PaLM,Google,[PaLM: Scaling Language Modeling with Pathways](https://arxiv.org/pdf/2204.02311.pdf)
2022-04,Chinchilla,DeepMind,[An empirical analysis of compute-optimal large language model training](https://www.deepmind.com/publications/an-empirical-analysis-of-compute-optimal-large-language-model-training)
2022-05,OPT,Meta,[OPT: Open Pre-trained Transformer Language Models](https://arxiv.org/pdf/2205.01068.pdf)
2022-05,UL2,Google,[Unifying Language Learning Paradigms](https://arxiv.org/abs/2205.05131v1)
2022-06,Emergent Abilities,Google,[Emergent Abilities of Large Language Models](https://openreview.net/pdf?id=yzkSU5zdwD)
2022-06,BIG-bench,Google,[Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models](https://github.com/google/BIG-bench)
2022-06,METALM,Microsoft,[Language Models are General-Purpose Interfaces](https://arxiv.org/pdf/2206.06336.pdf)
2022-09,Sparrow,DeepMind,[Improving alignment of dialogue agents via targeted human judgements](https://arxiv.org/pdf/2209.14375.pdf)
2022-10,Flan-T5/PaLM,Google,[Scaling Instruction-Finetuned Language Models](https://arxiv.org/pdf/2210.11416.pdf)
2022-10,GLM-130B,Tsinghua,[GLM-130B: An Open Bilingual Pre-trained Model](https://arxiv.org/pdf/2210.02414.pdf)
2022-11,HELM,Stanford,[Holistic Evaluation of Language Models](https://arxiv.org/pdf/2211.09110.pdf)
2022-11,BLOOM,BigScience,[BLOOM: A 176B-Parameter Open-Access Multilingual Language Model](https://arxiv.org/pdf/2211.05100.pdf)
2022-11,Galactica,Meta,[Galactica: A Large Language Model for Science](https://arxiv.org/pdf/2211.09085.pdf)
2022-12,OPT-IML,Meta,[OPT-IML: Scaling Language Model Instruction Meta Learning through the Lens of Generalization](https://arxiv.org/pdf/2212.12017)
2023-01,Flan 2022 Collection,Google,[The Flan Collection: Designing Data and Methods for Effective Instruction Tuning](https://arxiv.org/pdf/2301.13688.pdf)
2023-02,LLaMA,Meta,[LLaMA: Open and Efficient Foundation Language Models](https://research.facebook.com/publications/llama-open-and-efficient-foundation-language-models/)
2023-02,Kosmos-1,Microsoft,[Language Is Not All You Need: Aligning Perception with Language Models](https://arxiv.org/abs/2302.14045)
2023-03,PaLM-E,Google,[PaLM-E: An Embodied Multimodal Language Model](https://palm-e.github.io)
2023-03,GPT 4,OpenAI,[GPT-4 Technical Report](https://openai.com/research/gpt-4)
2023-04,Pythia,EleutherAI et al.,[Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling](https://arxiv.org/abs/2304.01373)
2023-05,Dromedary,CMU et al.,[Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision](https://arxiv.org/abs/2305.03047)
2023-05,PaLM 2,Google,[PaLM 2 Technical Report](https://ai.google/static/documents/palm2techreport.pdf)
2023-05,RWKV,Bo Peng,[RWKV: Reinventing RNNs for the Transformer Era](https://arxiv.org/abs/2305.13048)
2023-05,DPO,Stanford,[Direct Preference Optimization: Your Language Model is Secretly a Reward Model](https://arxiv.org/pdf/2305.18290.pdf)
2023-05,ToT,Google&Princeton,[Tree of Thoughts: Deliberate Problem Solving with Large Language Models](https://arxiv.org/pdf/2305.10601.pdf)
2023-07,LLaMA 2,Meta,[Llama 2: Open Foundation and Fine-Tuned Chat Models](https://arxiv.org/pdf/2307.09288.pdf)
2023-10,Mistral 7B,Mistral,[Mistral 7B](https://arxiv.org/pdf/2310.06825.pdf)
2023-12,Mamba,CMU&Princeton,[Mamba: Linear-Time Sequence Modeling with Selective State Spaces](https://arxiv.org/ftp/arxiv/papers/2312/2312.00752.pdf)
2024-03,Jamba,AI21 Labs,[Jamba: A Hybrid Transformer-Mamba Language Model](https://arxiv.org/pdf/2403.19887)
